Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;1.885;2.701
A;2;2.790;3.333
O;1;4.306;4.872
O;2;4.994;5.620
E;1;6.267;6.982
E;2;7.105;7.642
A;3;8.552;9.078
A;4;9.240;9.745
O;3;10.683;11.237
O;4;11.363;12.030
E;3;12.593;13.142
E;4;13.324;13.910
A;5;14.618;15.063
A;6;15.224;15.710
O;5;14.397;16.903
O;6;17.085;17.702
E;5;18.270;18.722
E;6;18.904;19.428
A;7;20.130;20.603
A;8;20.724;21.323
O;7;21.856;22.416
O;8;22.523;23.191
E;7;23.696;24.323
E;8;24.424;24.990
A;9;25.613;26.062
A;10;26.224;26.777
O;9;27.577;28.063
O;10;28.225;28.832
E;9;29.317;29.843
E;10;30.005;30.611
A;11;31.622;32.107
A;12;32.249;32.848
O;11;33.518;34.028
O;12;34.170;34.726
E;11;35.666;36.070
E;12;36.252;36.697
