Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;2.514;2.639
A;2;2.849;3.149
O;1;4.472;4.756
O;2;4.832;5.091
E;1;6.249;6.488
E;2;6.613;6.892
A;3;8.143;8.296
A;4;8.423;8.797
O;3;9.907;10.043
O;4;10.217;10.447
E;3;11.614;11.748
E;4;11.950;12.188
A;5;13.361;13.544
A;6;13.746;14.057
O;5;15.120;15.359
O;6;15.542;15.835
E;5;16.974;17.228
E;6;17.411;17.668
A;7;18.911;19.091
A;8;19.208;19.519
O;7;20.582;20.857
O;8;20.985;21.224
E;7;22.213;22.470
E;8;22.598;22.859
A;9;24.156;24.371
A;10;24.523;24.736
O;9;25.787;26.044
O;10;26.218;26.429
E;9;27.572;27.785
E;10;27.901;28.133
A;11;29.380;29.618
A;12;29.765;29.985
O;11;31.103;31.359
O;12;31.524;31.799
E;11;32.877;33.027
E;12;33.203;33.504
