Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;00:01.702;00:02.182
A;2;00:02.486;00:02.843
O;1;00:03.657;00:03.887
O;2;00:04.265;00:04.808
E;1;00:05.533;00:05.950
E;2;00:06.205;00:06.539
A;3;00:07.310;00:07.945
A;4;00:08.243;00:08.653
O;3;00:09.414;00:09.864
O;4;00:10.239;00:10.707
E;3;00:11.354;00:11.667
E;4;00:11.707;00:12.436
A;5;00:13.082;00:13.510
A;6;00:13.861;00:14.441
O;5;00:15.112;00:15.405
O;6;00:15.717;00:16.400
E;5;00:17.120;00:17.378
E;6;00:17.952;00:18.515
A;7;00:18.704;00:19.305
A;8;00:19.606;00:20.365
O;7;00:20.698;00:21.167
O;8;00:21.477;00:22.173
E;7;00:22.704;00:23.028
E;8;00:23.269;00:23.918
A;9;00:24.470;00:25.034
A;10;00:25.319;00.25.814
O;9;00:26.224;00:26.820
O;10;00:27.009;00:27.659
E;9;00:28.084;00:28.704
E;10;00:28.939;00:29.518
A;11;00:29.947;00:30.421
A;12;00:30.720;00:31.203
O;11;00:31.645;00:32.216
O;12;00:32.383;00:33.049
E;11;00:33.567;00:33.973
E;12;00:34.159;00:35.278
