Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;00:01.641;00:01.804
A;2;00:01.996;00:02.675
O;1;00:03.412;00:03.511
O;2;00:03.633;00:04.485
E;1;00:04.986;00:05.384
E;2;00:05.671;00:06.352
A;1;00:06.848;00:07.280
A;2;00:07.273;00:08.348
O;1;00:08.744;00:09.050
O;2;00:09.445;00:10.148
E;1;00:10.594;00:11.159
E;2;00:11.471;00:12.101
A;1;00:12.504;00:12.887
A;2;00:13.248;00:13.767
O;1;00:14.235;00:14.790
O;2;00:15.163;00:15.806
E;1;00:16.274;00:16.859
E;2;00:17.263;00:17.925
A;1;00:18.415;00:18.768
A;2;00:19.203;00:19.808
O;1;00:20.228;00:20.870
O;2;00:21.190;00:21.700
E;1;00:22.182;00:22.540
E;2;00:22.957;00:23.605
A;1;00:24.023;00:24.499
A;2;00:24.831;00:25.497
O;1;00:25.889;00:26.426
O;2;00:26.773;00:27.455
E;1;00:27.889;00:28.379
E;2;00:28.702;00:29.285
A;1;00:29.929;00:30.204
A;2;00:30.397;00:31.096
O;1;00:31.493;00:32.237
O;2;00:32.569;00:33.297
E;1;00:33.755;00:34.149
E;2;00:34.557;00:35.171
