Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;00:01.040;00:01.644
A;2;00:01.899;00:02.420
O;1;00:03.000;00:03.202
O;2;00:03.466;00:04.032
E;1;00:04.428;00:04.966
E;2;00:05.120;00:05.725
A;1;00:05.957;00:06.456
A;2;00:06.698;00:07.339
O;1;00:07.813;00:08.279
O;2;00:08.522;00:09.169
E;1;00:09.672;00:10.078
E;2;00:10.362;00:10.936
A;1;00:11.193;00:11.646
A;2;00:11.904;00:12.699
O;1;00:13.152;00:13.481
O;2;00:13.820;00:14.310
E;1;00:14.553;00:14.980
E;2;00:15.288;00:15.902
A;1;00:16.510;00:16.769
A;2;00:16.995;00:17.608
O;1;00:17.949;00:18.430
O;2;00:18.686;00:19.206
E;1;00:19.637;00:20.022
E;2;00:20.269;00:20.833
A;1;00:21.154;00:21.590
A;2;00:21.818;00:22.638
O;1;00:23.084;00:23.401
O;2;00:23.555;00:24.083
E;1;00:24.509;00:24.917
E;2;00:25.197;00:25.917
A;1;00:26.232;00:26.485
A;2;00:26.795;00:27.656
O;1;00:27.877;00:28.243
O;2;00:28.479;00:29.062
E;1;00:29.530;00:30.111
E;2;00:30.398;00:30.600
