Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;00:01.745;00:02.569
A;2;00:02.896;00:03.362
O;1;00:04.214;00:04.881
O;2;00:05.047;00:05.509
E;1;00:06.660;00:07.198
E;2;00:07.465;00:08.025
A;1;00:08.629;00:09.315
A;2;00:09.695;00:10.311
O;1;00:10.926;00:11.571
O;2;00:11.956;00:12.506
E;1;00:13.158;00:13.828
E;2;00:14.072;00:14.682
A;1;00:15.337;00:16.007
A;2;00:16.291;00:16.739
O;1;00:17.525;00:18.224
O;2;00:18.454;00:18.895
E;1;00:19.695;00:20.430
E;2;00:20.616;00:21.161
A;1;00:21.876;00:22.580
A;2;00:22.890;00:23.460
O;1;00:24.093;00:25.065
O;2;00:25.241;00:25.648
E;1;00:26.548;00:27.121
E;2;00:27.346;00:27.840
A;1;00:28.452;00:29.283
A;2;00:29.503;00:30.110
O;1;00:30.781;00:31.432
O;2;00:31.919;00:32.504
E;1;00:33.307;00:34.229
E;2;00:34.485;00:34.926
A;1;00:35.383;00:36.237
A;2;00:36.509;00:37.017
O;1;00:37.708;00:38.587
O;2;00:38.807;00:39.417
E;1;00:40.208;00:41.006
E;2;00:41.202;00:41.913
