Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;00:01.246;00:02.144
A;2;00:02.508;00:03.058
O;1;00:03.514;00:04.509
O;2;00:04.889;00:05.422
E;1;00:06.288;00:06.878
E;2;00:07.193;00:07.585
A;1;00:08.114;00:08.748
A;2;00:08.990;00:09.516
O;1;00:10.152;00:10.815
O;2;00:11.082;00:11.714
E;1;00:12.584;00:13.092
E;2;00:13.435;00:13.921
A;1;00:14.392;00:15.271
A;2;00:15.506;00:16.047
O;1;00:16.661;00:17.529
O;2;00:17.922;00:18.310
E;1;00:18.816;00:19.668
E;2;00:19.898;00:20.501
A;1;00:21.093;00:21.872
A;2;00:22.082;00:22.712
O;1;00:23.278;00:24.234
O;2;00:24.566;00:24.995
E;1;00:25.692;00:26.367
E;2;00:26.593;00:27.269
A;1;00:27.936;00:28.513
A;2;00:28.751;00:29.334
O;1;00:29.834;00:30.666
O;2;00:30.996;00:31.575
E;1;00:32.398;00:33.016
E;2;00:33.315;00:33.884
A;1;00:34.502;00:35.510
A;2;00:35.347;00:35.855
O;1;00:36.693;00:37.361
O;2;00:37.627;00:38.100
E;1;00:38.664;00:39.355
E;2;00:39.680;00:40.309
